,account_balance,duration,credit_history,purpose,credit_amount,savings_bond_value,employed_since,intallment_rate,sex_marital,guarantor,residence_since,property,age,other_installment_plans,type_of_housing,nr_of_existing_credits,job,number_of_dependents,telephone,foreign,target,content
737,< 0,18,existing credits paid back duly till now,car(new),4380,100-500 DM,1-4 years,3,male;single,bank,4,car or other,35,none,own,1,unskilled;resident,2,Yes,Yes,__label__1,__label__1 < 0 18 existing credits paid back duly till now car(new) 4380 100-500 DM 1-4 years 3 male;single bank 4 car or other 35 none own 1 unskilled;resident 2 Yes Yes
738,no checking account,6,critical account/other credits existing (not at this bank),car(new),6761,< 100 DM,4-7 years,1,male;single,bank,3,unknown / no property,45,none,own,2,management/self-employed/highly qualified employee/officer,2,Yes,Yes,__label__1,__label__1 no checking account 6 critical account/other credits existing (not at this bank) car(new) 6761 < 100 DM 4-7 years 1 male;single bank 3 unknown / no property 45 none own 2 management/self-employed/highly qualified employee/officer 2 Yes Yes
739,0-200 DM,30,no credits taken/all credits paid back duly,business,4280,100-500 DM,1-4 years,4,female;divorced/separated/married,bank,4,car or other,26,none,rent,2,unskilled;resident,1,No,Yes,__label__2,__label__2 0-200 DM 30 no credits taken/all credits paid back duly business 4280 100-500 DM 1-4 years 4 female;divorced/separated/married bank 4 car or other 26 none rent 2 unskilled;resident 1 No Yes
740,< 0,24,all credits at this bank paid back duly,car(new),2325,100-500 DM,4-7 years,2,male;single,bank,3,car or other,32,bank,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 < 0 24 all credits at this bank paid back duly car(new) 2325 100-500 DM 4-7 years 2 male;single bank 3 car or other 32 bank own 1 skilled employee;official 1 No Yes
741,0-200 DM,10,all credits at this bank paid back duly,radio/television,1048,< 100 DM,1-4 years,4,male;single,bank,4,real estate,23,stores,own,1,unskilled;resident,1,No,Yes,__label__1,__label__1 0-200 DM 10 all credits at this bank paid back duly radio/television 1048 < 100 DM 1-4 years 4 male;single bank 4 real estate 23 stores own 1 unskilled;resident 1 No Yes
742,no checking account,21,existing credits paid back duly till now,radio/television,3160,unknown/no savings account,>=7 years,4,male;single,bank,3,building society savings agreement/life insurance,41,none,own,1,skilled employee;official,1,Yes,Yes,__label__1,__label__1 no checking account 21 existing credits paid back duly till now radio/television 3160 unknown/no savings account >=7 years 4 male;single bank 3 building society savings agreement/life insurance 41 none own 1 skilled employee;official 1 Yes Yes
743,< 0,24,all credits at this bank paid back duly,furniture/equipment,2483,500-1000 DM,1-4 years,4,male;single,bank,4,real estate,22,stores,own,1,skilled employee;official,1,Yes,Yes,__label__1,__label__1 < 0 24 all credits at this bank paid back duly furniture/equipment 2483 500-1000 DM 1-4 years 4 male;single bank 4 real estate 22 stores own 1 skilled employee;official 1 Yes Yes
744,< 0,39,critical account/other credits existing (not at this bank),furniture/equipment,14179,unknown/no savings account,4-7 years,4,male;single,bank,4,building society savings agreement/life insurance,30,none,own,2,management/self-employed/highly qualified employee/officer,1,Yes,Yes,__label__1,__label__1 < 0 39 critical account/other credits existing (not at this bank) furniture/equipment 14179 unknown/no savings account 4-7 years 4 male;single bank 4 building society savings agreement/life insurance 30 none own 2 management/self-employed/highly qualified employee/officer 1 Yes Yes
745,< 0,13,critical account/other credits existing (not at this bank),business,1797,< 100 DM,<1 year,3,male;single,bank,1,building society savings agreement/life insurance,28,bank,own,2,unskilled;resident,1,No,Yes,__label__1,__label__1 < 0 13 critical account/other credits existing (not at this bank) business 1797 < 100 DM <1 year 3 male;single bank 1 building society savings agreement/life insurance 28 bank own 2 unskilled;resident 1 No Yes
746,< 0,15,existing credits paid back duly till now,car(new),2511,< 100 DM,unemployed,1,female;divorced/separated/married,bank,4,car or other,23,none,rent,1,skilled employee;official,1,No,Yes,__label__1,__label__1 < 0 15 existing credits paid back duly till now car(new) 2511 < 100 DM unemployed 1 female;divorced/separated/married bank 4 car or other 23 none rent 1 skilled employee;official 1 No Yes
747,< 0,12,existing credits paid back duly till now,car(new),1274,< 100 DM,<1 year,3,female;divorced/separated/married,bank,1,real estate,37,none,own,1,unskilled;resident,1,No,Yes,__label__2,__label__2 < 0 12 existing credits paid back duly till now car(new) 1274 < 100 DM <1 year 3 female;divorced/separated/married bank 1 real estate 37 none own 1 unskilled;resident 1 No Yes
748,no checking account,21,existing credits paid back duly till now,car(used),5248,unknown/no savings account,1-4 years,1,male;single,bank,3,car or other,26,none,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 21 existing credits paid back duly till now car(used) 5248 unknown/no savings account 1-4 years 1 male;single bank 3 car or other 26 none own 1 skilled employee;official 1 No Yes
749,no checking account,15,existing credits paid back duly till now,car(used),3029,< 100 DM,4-7 years,2,male;single,bank,2,car or other,33,none,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 15 existing credits paid back duly till now car(used) 3029 < 100 DM 4-7 years 2 male;single bank 2 car or other 33 none own 1 skilled employee;official 1 No Yes
750,< 0,6,existing credits paid back duly till now,furniture/equipment,428,< 100 DM,>=7 years,2,female;divorced/separated/married,bank,1,building society savings agreement/life insurance,49,bank,own,1,skilled employee;official,1,Yes,Yes,__label__1,__label__1 < 0 6 existing credits paid back duly till now furniture/equipment 428 < 100 DM >=7 years 2 female;divorced/separated/married bank 1 building society savings agreement/life insurance 49 bank own 1 skilled employee;official 1 Yes Yes
751,< 0,18,existing credits paid back duly till now,car(new),976,< 100 DM,<1 year,1,female;divorced/separated/married,bank,2,car or other,23,none,own,1,unskilled;resident,1,No,Yes,__label__2,__label__2 < 0 18 existing credits paid back duly till now car(new) 976 < 100 DM <1 year 1 female;divorced/separated/married bank 2 car or other 23 none own 1 unskilled;resident 1 No Yes
752,0-200 DM,12,existing credits paid back duly till now,business,841,100-500 DM,4-7 years,2,female;divorced/separated/married,bank,4,real estate,23,none,rent,1,unskilled;resident,1,No,Yes,__label__1,__label__1 0-200 DM 12 existing credits paid back duly till now business 841 100-500 DM 4-7 years 2 female;divorced/separated/married bank 4 real estate 23 none rent 1 unskilled;resident 1 No Yes
753,no checking account,30,critical account/other credits existing (not at this bank),radio/television,5771,< 100 DM,4-7 years,4,female;divorced/separated/married,bank,2,car or other,25,none,own,2,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 30 critical account/other credits existing (not at this bank) radio/television 5771 < 100 DM 4-7 years 4 female;divorced/separated/married bank 2 car or other 25 none own 2 skilled employee;official 1 No Yes
754,no checking account,12,delay in paying off in the past,repairs,1555,>=1000 DM,>=7 years,4,male;single,bank,4,unknown / no property,55,none,for free,2,skilled employee;official,2,No,Yes,__label__2,__label__2 no checking account 12 delay in paying off in the past repairs 1555 >=1000 DM >=7 years 4 male;single bank 4 unknown / no property 55 none for free 2 skilled employee;official 2 No Yes
755,< 0,24,existing credits paid back duly till now,car(new),1285,unknown/no savings account,4-7 years,4,female;divorced/separated/married,bank,4,unknown / no property,32,none,rent,1,skilled employee;official,1,No,Yes,__label__2,__label__2 < 0 24 existing credits paid back duly till now car(new) 1285 unknown/no savings account 4-7 years 4 female;divorced/separated/married bank 4 unknown / no property 32 none rent 1 skilled employee;official 1 No Yes
756,>=200 DM,6,critical account/other credits existing (not at this bank),car(new),1299,< 100 DM,1-4 years,1,male;single,bank,1,real estate,74,none,own,3,unemployed/unskilled;non-resident,2,No,No,__label__1,__label__1 >=200 DM 6 critical account/other credits existing (not at this bank) car(new) 1299 < 100 DM 1-4 years 1 male;single bank 1 real estate 74 none own 3 unemployed/unskilled;non-resident 2 No No
757,>=200 DM,15,critical account/other credits existing (not at this bank),radio/television,1271,unknown/no savings account,1-4 years,3,male;single,bank,4,unknown / no property,39,none,for free,2,skilled employee;official,1,Yes,Yes,__label__2,__label__2 >=200 DM 15 critical account/other credits existing (not at this bank) radio/television 1271 unknown/no savings account 1-4 years 3 male;single bank 4 unknown / no property 39 none for free 2 skilled employee;official 1 Yes Yes
758,no checking account,24,existing credits paid back duly till now,car(new),1393,< 100 DM,1-4 years,2,male;single,none,2,real estate,31,none,own,1,skilled employee;official,1,Yes,Yes,__label__1,__label__1 no checking account 24 existing credits paid back duly till now car(new) 1393 < 100 DM 1-4 years 2 male;single none 2 real estate 31 none own 1 skilled employee;official 1 Yes Yes
759,< 0,12,critical account/other credits existing (not at this bank),car(new),691,< 100 DM,>=7 years,4,male;single,bank,3,building society savings agreement/life insurance,35,none,own,2,skilled employee;official,1,No,Yes,__label__2,__label__2 < 0 12 critical account/other credits existing (not at this bank) car(new) 691 < 100 DM >=7 years 4 male;single bank 3 building society savings agreement/life insurance 35 none own 2 skilled employee;official 1 No Yes
760,no checking account,15,critical account/other credits existing (not at this bank),car(new),5045,unknown/no savings account,>=7 years,1,female;divorced/separated/married,bank,4,car or other,59,none,own,1,skilled employee;official,1,Yes,Yes,__label__1,__label__1 no checking account 15 critical account/other credits existing (not at this bank) car(new) 5045 unknown/no savings account >=7 years 1 female;divorced/separated/married bank 4 car or other 59 none own 1 skilled employee;official 1 Yes Yes
761,< 0,18,critical account/other credits existing (not at this bank),furniture/equipment,2124,< 100 DM,1-4 years,4,female;divorced/separated/married,bank,4,real estate,24,none,rent,2,skilled employee;official,1,No,Yes,__label__2,__label__2 < 0 18 critical account/other credits existing (not at this bank) furniture/equipment 2124 < 100 DM 1-4 years 4 female;divorced/separated/married bank 4 real estate 24 none rent 2 skilled employee;official 1 No Yes
762,< 0,12,existing credits paid back duly till now,radio/television,2214,< 100 DM,1-4 years,4,male;single,bank,3,building society savings agreement/life insurance,24,none,own,1,unskilled;resident,1,No,Yes,__label__1,__label__1 < 0 12 existing credits paid back duly till now radio/television 2214 < 100 DM 1-4 years 4 male;single bank 3 building society savings agreement/life insurance 24 none own 1 unskilled;resident 1 No Yes
763,no checking account,21,critical account/other credits existing (not at this bank),car(new),12680,unknown/no savings account,>=7 years,4,male;single,bank,4,unknown / no property,30,none,for free,1,management/self-employed/highly qualified employee/officer,1,Yes,Yes,__label__2,__label__2 no checking account 21 critical account/other credits existing (not at this bank) car(new) 12680 unknown/no savings account >=7 years 4 male;single bank 4 unknown / no property 30 none for free 1 management/self-employed/highly qualified employee/officer 1 Yes Yes
764,no checking account,24,critical account/other credits existing (not at this bank),car(new),2463,100-500 DM,4-7 years,4,male;married/widowed,bank,3,building society savings agreement/life insurance,27,none,own,2,skilled employee;official,1,Yes,Yes,__label__1,__label__1 no checking account 24 critical account/other credits existing (not at this bank) car(new) 2463 100-500 DM 4-7 years 4 male;married/widowed bank 3 building society savings agreement/life insurance 27 none own 2 skilled employee;official 1 Yes Yes
765,0-200 DM,12,existing credits paid back duly till now,radio/television,1155,< 100 DM,>=7 years,3,male;married/widowed,none,3,real estate,40,bank,own,2,unskilled;resident,1,No,Yes,__label__1,__label__1 0-200 DM 12 existing credits paid back duly till now radio/television 1155 < 100 DM >=7 years 3 male;married/widowed none 3 real estate 40 bank own 2 unskilled;resident 1 No Yes
766,< 0,30,existing credits paid back duly till now,furniture/equipment,3108,< 100 DM,<1 year,2,male;divorced/separated,bank,4,building society savings agreement/life insurance,31,none,own,1,unskilled;resident,1,No,Yes,__label__2,__label__2 < 0 30 existing credits paid back duly till now furniture/equipment 3108 < 100 DM <1 year 2 male;divorced/separated bank 4 building society savings agreement/life insurance 31 none own 1 unskilled;resident 1 No Yes
767,no checking account,10,existing credits paid back duly till now,car(used),2901,unknown/no savings account,<1 year,1,female;divorced/separated/married,bank,4,real estate,31,none,rent,1,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 10 existing credits paid back duly till now car(used) 2901 unknown/no savings account <1 year 1 female;divorced/separated/married bank 4 real estate 31 none rent 1 skilled employee;official 1 No Yes
768,0-200 DM,12,critical account/other credits existing (not at this bank),furniture/equipment,3617,< 100 DM,>=7 years,1,male;single,bank,4,car or other,28,none,rent,3,skilled employee;official,1,Yes,Yes,__label__1,__label__1 0-200 DM 12 critical account/other credits existing (not at this bank) furniture/equipment 3617 < 100 DM >=7 years 1 male;single bank 4 car or other 28 none rent 3 skilled employee;official 1 Yes Yes
769,no checking account,12,critical account/other credits existing (not at this bank),radio/television,1655,< 100 DM,>=7 years,2,male;single,bank,4,real estate,63,none,own,2,unskilled;resident,1,Yes,Yes,__label__1,__label__1 no checking account 12 critical account/other credits existing (not at this bank) radio/television 1655 < 100 DM >=7 years 2 male;single bank 4 real estate 63 none own 2 unskilled;resident 1 Yes Yes
770,< 0,24,existing credits paid back duly till now,car(used),2812,unknown/no savings account,>=7 years,2,female;divorced/separated/married,bank,4,real estate,26,none,rent,1,skilled employee;official,1,No,Yes,__label__1,__label__1 < 0 24 existing credits paid back duly till now car(used) 2812 unknown/no savings account >=7 years 2 female;divorced/separated/married bank 4 real estate 26 none rent 1 skilled employee;official 1 No Yes
771,< 0,36,critical account/other credits existing (not at this bank),education,8065,< 100 DM,1-4 years,3,female;divorced/separated/married,bank,2,unknown / no property,25,none,own,2,management/self-employed/highly qualified employee/officer,1,Yes,Yes,__label__2,__label__2 < 0 36 critical account/other credits existing (not at this bank) education 8065 < 100 DM 1-4 years 3 female;divorced/separated/married bank 2 unknown / no property 25 none own 2 management/self-employed/highly qualified employee/officer 1 Yes Yes
772,no checking account,21,critical account/other credits existing (not at this bank),car(used),3275,< 100 DM,>=7 years,1,male;single,bank,4,car or other,36,none,own,1,management/self-employed/highly qualified employee/officer,1,Yes,Yes,__label__1,__label__1 no checking account 21 critical account/other credits existing (not at this bank) car(used) 3275 < 100 DM >=7 years 1 male;single bank 4 car or other 36 none own 1 management/self-employed/highly qualified employee/officer 1 Yes Yes
773,no checking account,24,critical account/other credits existing (not at this bank),radio/television,2223,100-500 DM,>=7 years,4,male;single,bank,4,building society savings agreement/life insurance,52,bank,own,2,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 24 critical account/other credits existing (not at this bank) radio/television 2223 100-500 DM >=7 years 4 male;single bank 4 building society savings agreement/life insurance 52 bank own 2 skilled employee;official 1 No Yes
774,>=200 DM,12,critical account/other credits existing (not at this bank),car(new),1480,500-1000 DM,unemployed,2,male;single,bank,4,unknown / no property,66,bank,for free,3,unemployed/unskilled;non-resident,1,No,Yes,__label__1,__label__1 >=200 DM 12 critical account/other credits existing (not at this bank) car(new) 1480 500-1000 DM unemployed 2 male;single bank 4 unknown / no property 66 bank for free 3 unemployed/unskilled;non-resident 1 No Yes
775,< 0,24,existing credits paid back duly till now,car(new),1371,unknown/no savings account,1-4 years,4,female;divorced/separated/married,bank,4,real estate,25,none,rent,1,skilled employee;official,1,No,Yes,__label__2,__label__2 < 0 24 existing credits paid back duly till now car(new) 1371 unknown/no savings account 1-4 years 4 female;divorced/separated/married bank 4 real estate 25 none rent 1 skilled employee;official 1 No Yes
776,no checking account,36,critical account/other credits existing (not at this bank),car(new),3535,< 100 DM,4-7 years,4,male;single,bank,4,car or other,37,none,own,2,skilled employee;official,1,Yes,Yes,__label__1,__label__1 no checking account 36 critical account/other credits existing (not at this bank) car(new) 3535 < 100 DM 4-7 years 4 male;single bank 4 car or other 37 none own 2 skilled employee;official 1 Yes Yes
777,< 0,18,existing credits paid back duly till now,radio/television,3509,< 100 DM,4-7 years,4,female;divorced/separated/married,none,1,real estate,25,none,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 < 0 18 existing credits paid back duly till now radio/television 3509 < 100 DM 4-7 years 4 female;divorced/separated/married none 1 real estate 25 none own 1 skilled employee;official 1 No Yes
778,no checking account,36,critical account/other credits existing (not at this bank),car(used),5711,>=1000 DM,>=7 years,4,male;single,bank,2,car or other,38,none,own,2,management/self-employed/highly qualified employee/officer,1,Yes,Yes,__label__1,__label__1 no checking account 36 critical account/other credits existing (not at this bank) car(used) 5711 >=1000 DM >=7 years 4 male;single bank 2 car or other 38 none own 2 management/self-employed/highly qualified employee/officer 1 Yes Yes
779,0-200 DM,18,existing credits paid back duly till now,repairs,3872,< 100 DM,unemployed,2,female;divorced/separated/married,bank,4,car or other,67,none,own,1,skilled employee;official,1,Yes,Yes,__label__1,__label__1 0-200 DM 18 existing credits paid back duly till now repairs 3872 < 100 DM unemployed 2 female;divorced/separated/married bank 4 car or other 67 none own 1 skilled employee;official 1 Yes Yes
780,0-200 DM,39,critical account/other credits existing (not at this bank),radio/television,4933,< 100 DM,4-7 years,2,male;single,none,2,real estate,25,none,own,2,skilled employee;official,1,No,Yes,__label__2,__label__2 0-200 DM 39 critical account/other credits existing (not at this bank) radio/television 4933 < 100 DM 4-7 years 2 male;single none 2 real estate 25 none own 2 skilled employee;official 1 No Yes
781,no checking account,24,critical account/other credits existing (not at this bank),car(new),1940,>=1000 DM,>=7 years,4,male;single,bank,4,real estate,60,none,own,1,skilled employee;official,1,Yes,Yes,__label__1,__label__1 no checking account 24 critical account/other credits existing (not at this bank) car(new) 1940 >=1000 DM >=7 years 4 male;single bank 4 real estate 60 none own 1 skilled employee;official 1 Yes Yes
782,0-200 DM,12,no credits taken/all credits paid back duly,retraining,1410,< 100 DM,1-4 years,2,male;single,bank,2,real estate,31,none,own,1,unskilled;resident,1,Yes,Yes,__label__1,__label__1 0-200 DM 12 no credits taken/all credits paid back duly retraining 1410 < 100 DM 1-4 years 2 male;single bank 2 real estate 31 none own 1 unskilled;resident 1 Yes Yes
783,0-200 DM,12,existing credits paid back duly till now,car(new),836,100-500 DM,<1 year,4,female;divorced/separated/married,bank,2,building society savings agreement/life insurance,23,bank,own,1,unskilled;resident,1,No,Yes,__label__2,__label__2 0-200 DM 12 existing credits paid back duly till now car(new) 836 100-500 DM <1 year 4 female;divorced/separated/married bank 2 building society savings agreement/life insurance 23 bank own 1 unskilled;resident 1 No Yes
784,0-200 DM,20,existing credits paid back duly till now,car(used),6468,unknown/no savings account,unemployed,1,male;divorced/separated,bank,4,real estate,60,none,own,1,management/self-employed/highly qualified employee/officer,1,Yes,Yes,__label__1,__label__1 0-200 DM 20 existing credits paid back duly till now car(used) 6468 unknown/no savings account unemployed 1 male;divorced/separated bank 4 real estate 60 none own 1 management/self-employed/highly qualified employee/officer 1 Yes Yes
785,0-200 DM,18,existing credits paid back duly till now,business,1941,>=1000 DM,1-4 years,4,male;single,bank,2,building society savings agreement/life insurance,35,none,own,1,unskilled;resident,1,Yes,Yes,__label__1,__label__1 0-200 DM 18 existing credits paid back duly till now business 1941 >=1000 DM 1-4 years 4 male;single bank 2 building society savings agreement/life insurance 35 none own 1 unskilled;resident 1 Yes Yes
786,no checking account,22,existing credits paid back duly till now,radio/television,2675,500-1000 DM,>=7 years,3,male;single,bank,4,car or other,40,none,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 22 existing credits paid back duly till now radio/television 2675 500-1000 DM >=7 years 3 male;single bank 4 car or other 40 none own 1 skilled employee;official 1 No Yes
787,no checking account,48,critical account/other credits existing (not at this bank),car(used),2751,unknown/no savings account,>=7 years,4,male;single,bank,3,car or other,38,none,own,2,skilled employee;official,2,Yes,Yes,__label__1,__label__1 no checking account 48 critical account/other credits existing (not at this bank) car(used) 2751 unknown/no savings account >=7 years 4 male;single bank 3 car or other 38 none own 2 skilled employee;official 2 Yes Yes
788,0-200 DM,48,delay in paying off in the past,education,6224,< 100 DM,>=7 years,4,male;single,bank,4,unknown / no property,50,none,for free,1,skilled employee;official,1,No,Yes,__label__2,__label__2 0-200 DM 48 delay in paying off in the past education 6224 < 100 DM >=7 years 4 male;single bank 4 unknown / no property 50 none for free 1 skilled employee;official 1 No Yes
789,< 0,40,critical account/other credits existing (not at this bank),education,5998,< 100 DM,1-4 years,4,male;single,bank,3,unknown / no property,27,bank,own,1,skilled employee;official,1,Yes,Yes,__label__2,__label__2 < 0 40 critical account/other credits existing (not at this bank) education 5998 < 100 DM 1-4 years 4 male;single bank 3 unknown / no property 27 bank own 1 skilled employee;official 1 Yes Yes
790,0-200 DM,21,existing credits paid back duly till now,business,1188,< 100 DM,>=7 years,2,female;divorced/separated/married,bank,4,building society savings agreement/life insurance,39,none,own,1,skilled employee;official,2,No,Yes,__label__2,__label__2 0-200 DM 21 existing credits paid back duly till now business 1188 < 100 DM >=7 years 2 female;divorced/separated/married bank 4 building society savings agreement/life insurance 39 none own 1 skilled employee;official 2 No Yes
791,no checking account,24,existing credits paid back duly till now,car(used),6313,unknown/no savings account,>=7 years,3,male;single,bank,4,car or other,41,none,own,1,management/self-employed/highly qualified employee/officer,2,Yes,Yes,__label__1,__label__1 no checking account 24 existing credits paid back duly till now car(used) 6313 unknown/no savings account >=7 years 3 male;single bank 4 car or other 41 none own 1 management/self-employed/highly qualified employee/officer 2 Yes Yes
792,no checking account,6,critical account/other credits existing (not at this bank),furniture/equipment,1221,unknown/no savings account,1-4 years,1,male;married/widowed,bank,2,building society savings agreement/life insurance,27,none,own,2,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 6 critical account/other credits existing (not at this bank) furniture/equipment 1221 unknown/no savings account 1-4 years 1 male;married/widowed bank 2 building society savings agreement/life insurance 27 none own 2 skilled employee;official 1 No Yes
793,>=200 DM,24,existing credits paid back duly till now,furniture/equipment,2892,< 100 DM,>=7 years,3,male;divorced/separated,bank,4,unknown / no property,51,none,for free,1,skilled employee;official,1,No,Yes,__label__1,__label__1 >=200 DM 24 existing credits paid back duly till now furniture/equipment 2892 < 100 DM >=7 years 3 male;divorced/separated bank 4 unknown / no property 51 none for free 1 skilled employee;official 1 No Yes
794,no checking account,24,existing credits paid back duly till now,furniture/equipment,3062,500-1000 DM,>=7 years,4,male;single,bank,3,unknown / no property,32,none,rent,1,skilled employee;official,1,Yes,Yes,__label__1,__label__1 no checking account 24 existing credits paid back duly till now furniture/equipment 3062 500-1000 DM >=7 years 4 male;single bank 3 unknown / no property 32 none rent 1 skilled employee;official 1 Yes Yes
795,no checking account,9,existing credits paid back duly till now,furniture/equipment,2301,100-500 DM,<1 year,2,female;divorced/separated/married,bank,4,building society savings agreement/life insurance,22,none,rent,1,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 9 existing credits paid back duly till now furniture/equipment 2301 100-500 DM <1 year 2 female;divorced/separated/married bank 4 building society savings agreement/life insurance 22 none rent 1 skilled employee;official 1 No Yes
796,< 0,18,existing credits paid back duly till now,car(used),7511,unknown/no savings account,>=7 years,1,male;single,bank,4,building society savings agreement/life insurance,51,none,for free,1,skilled employee;official,2,Yes,Yes,__label__2,__label__2 < 0 18 existing credits paid back duly till now car(used) 7511 unknown/no savings account >=7 years 1 male;single bank 4 building society savings agreement/life insurance 51 none for free 1 skilled employee;official 2 Yes Yes
797,no checking account,12,critical account/other credits existing (not at this bank),furniture/equipment,1258,< 100 DM,<1 year,2,female;divorced/separated/married,bank,4,building society savings agreement/life insurance,22,none,rent,2,unskilled;resident,1,No,Yes,__label__1,__label__1 no checking account 12 critical account/other credits existing (not at this bank) furniture/equipment 1258 < 100 DM <1 year 2 female;divorced/separated/married bank 4 building society savings agreement/life insurance 22 none rent 2 unskilled;resident 1 No Yes
798,no checking account,24,delay in paying off in the past,car(new),717,unknown/no savings account,>=7 years,4,male;married/widowed,bank,4,car or other,54,none,own,2,skilled employee;official,1,Yes,Yes,__label__1,__label__1 no checking account 24 delay in paying off in the past car(new) 717 unknown/no savings account >=7 years 4 male;married/widowed bank 4 car or other 54 none own 2 skilled employee;official 1 Yes Yes
799,0-200 DM,9,existing credits paid back duly till now,car(new),1549,unknown/no savings account,<1 year,4,male;single,bank,2,real estate,35,none,own,1,unemployed/unskilled;non-resident,1,No,Yes,__label__1,__label__1 0-200 DM 9 existing credits paid back duly till now car(new) 1549 unknown/no savings account <1 year 4 male;single bank 2 real estate 35 none own 1 unemployed/unskilled;non-resident 1 No Yes
800,no checking account,24,critical account/other credits existing (not at this bank),education,1597,< 100 DM,>=7 years,4,male;single,bank,4,unknown / no property,54,none,for free,2,skilled employee;official,2,No,Yes,__label__1,__label__1 no checking account 24 critical account/other credits existing (not at this bank) education 1597 < 100 DM >=7 years 4 male;single bank 4 unknown / no property 54 none for free 2 skilled employee;official 2 No Yes
801,0-200 DM,18,critical account/other credits existing (not at this bank),radio/television,1795,< 100 DM,>=7 years,3,female;divorced/separated/married,none,4,real estate,48,bank,rent,2,unskilled;resident,1,Yes,Yes,__label__1,__label__1 0-200 DM 18 critical account/other credits existing (not at this bank) radio/television 1795 < 100 DM >=7 years 3 female;divorced/separated/married none 4 real estate 48 bank rent 2 unskilled;resident 1 Yes Yes
802,< 0,20,critical account/other credits existing (not at this bank),furniture/equipment,4272,< 100 DM,>=7 years,1,female;divorced/separated/married,bank,4,building society savings agreement/life insurance,24,none,own,2,skilled employee;official,1,No,Yes,__label__1,__label__1 < 0 20 critical account/other credits existing (not at this bank) furniture/equipment 4272 < 100 DM >=7 years 1 female;divorced/separated/married bank 4 building society savings agreement/life insurance 24 none own 2 skilled employee;official 1 No Yes
803,no checking account,12,critical account/other credits existing (not at this bank),radio/television,976,unknown/no savings account,>=7 years,4,male;single,bank,4,car or other,35,none,own,2,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 12 critical account/other credits existing (not at this bank) radio/television 976 unknown/no savings account >=7 years 4 male;single bank 4 car or other 35 none own 2 skilled employee;official 1 No Yes
804,0-200 DM,12,existing credits paid back duly till now,car(new),7472,unknown/no savings account,unemployed,1,female;divorced/separated/married,bank,2,real estate,24,none,rent,1,unemployed/unskilled;non-resident,1,No,Yes,__label__1,__label__1 0-200 DM 12 existing credits paid back duly till now car(new) 7472 unknown/no savings account unemployed 1 female;divorced/separated/married bank 2 real estate 24 none rent 1 unemployed/unskilled;non-resident 1 No Yes
805,< 0,36,existing credits paid back duly till now,car(new),9271,< 100 DM,4-7 years,2,male;single,bank,1,car or other,24,none,own,1,skilled employee;official,1,Yes,Yes,__label__2,__label__2 < 0 36 existing credits paid back duly till now car(new) 9271 < 100 DM 4-7 years 2 male;single bank 1 car or other 24 none own 1 skilled employee;official 1 Yes Yes
806,0-200 DM,6,existing credits paid back duly till now,radio/television,590,< 100 DM,<1 year,3,male;married/widowed,bank,3,real estate,26,none,own,1,unskilled;resident,1,No,No,__label__1,__label__1 0-200 DM 6 existing credits paid back duly till now radio/television 590 < 100 DM <1 year 3 male;married/widowed bank 3 real estate 26 none own 1 unskilled;resident 1 No No
807,no checking account,12,critical account/other credits existing (not at this bank),radio/television,930,unknown/no savings account,>=7 years,4,male;single,bank,4,real estate,65,none,own,4,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 12 critical account/other credits existing (not at this bank) radio/television 930 unknown/no savings account >=7 years 4 male;single bank 4 real estate 65 none own 4 skilled employee;official 1 No Yes
808,0-200 DM,42,all credits at this bank paid back duly,car(used),9283,< 100 DM,unemployed,1,male;single,bank,2,unknown / no property,55,bank,for free,1,management/self-employed/highly qualified employee/officer,1,Yes,Yes,__label__1,__label__1 0-200 DM 42 all credits at this bank paid back duly car(used) 9283 < 100 DM unemployed 1 male;single bank 2 unknown / no property 55 bank for free 1 management/self-employed/highly qualified employee/officer 1 Yes Yes
809,0-200 DM,15,no credits taken/all credits paid back duly,car(new),1778,< 100 DM,<1 year,2,female;divorced/separated/married,bank,1,real estate,26,none,rent,2,unemployed/unskilled;non-resident,1,No,Yes,__label__2,__label__2 0-200 DM 15 no credits taken/all credits paid back duly car(new) 1778 < 100 DM <1 year 2 female;divorced/separated/married bank 1 real estate 26 none rent 2 unemployed/unskilled;non-resident 1 No Yes
810,0-200 DM,8,existing credits paid back duly till now,business,907,< 100 DM,<1 year,3,male;married/widowed,bank,2,real estate,26,none,own,1,skilled employee;official,1,Yes,Yes,__label__1,__label__1 0-200 DM 8 existing credits paid back duly till now business 907 < 100 DM <1 year 3 male;married/widowed bank 2 real estate 26 none own 1 skilled employee;official 1 Yes Yes
